Name                                                            Stmts   Miss  Cover
-----------------------------------------------------------------------------------
lcc/__init__.py                                                     3      0   100%
lcc/bin/__init__.py                                                 0      0   100%
lcc/bin/create_project.py                                          27      6    78%
lcc/bin/filter_stars.py                                            78     21    73%
lcc/bin/make_filter.py                                            128     28    78%
lcc/bin/plot_lcs.py                                                52     52     0%
lcc/bin/prepare_query.py                                           86     15    83%
lcc/cli/__init__.py                                                 0      0   100%
lcc/cli/input_parse.py                                             59     36    39%
lcc/cli/lcc.py                                                     35      9    74%
lcc/cli/stars_handling.py                                          71     30    58%
lcc/data_manager/__init__.py                                        0      0   100%
lcc/data_manager/filter_serializer.py                              15      0   100%
lcc/data_manager/package_reader.py                                 66     22    67%
lcc/data_manager/prepare_package.py                                13      2    85%
lcc/data_manager/status_resolver.py                               136     53    61%
lcc/db_tier/TAP_query.py                                           86     13    85%
lcc/db_tier/__init__.py                                             0      0   100%
lcc/db_tier/base_query.py                                          39      6    85%
lcc/db_tier/connectors/__init__.py                                  8      0   100%
lcc/db_tier/connectors/asas.py                                     37     21    43%
lcc/db_tier/connectors/catalina.py                                 64     42    34%
lcc/db_tier/connectors/corot.py                                    63      7    89%
lcc/db_tier/connectors/file_manager.py                            212     64    70%
lcc/db_tier/connectors/kepler.py                                   95      5    95%
lcc/db_tier/connectors/macho.py                                    13      0   100%
lcc/db_tier/connectors/ogleII.py                                  158     12    92%
lcc/db_tier/connectors/ogleIII.py                                 180     33    82%
lcc/db_tier/stars_provider.py                                      10      2    80%
lcc/db_tier/vizier_tap_base.py                                    107      5    95%
lcc/entities/__init__.py                                            0      0   100%
lcc/entities/exceptions.py                                         30      0   100%
lcc/entities/light_curve.py                                        65     15    77%
lcc/entities/star.py                                               92     32    65%
lcc/stars_processing/__init__.py                                    0      0   100%
lcc/stars_processing/deciders/__init__.py                           3      0   100%
lcc/stars_processing/deciders/custom_decider.py                    37     29    22%
lcc/stars_processing/deciders/neuron_decider.py                    39      6    85%
lcc/stars_processing/deciders/supervised_deciders.py               46      0   100%
lcc/stars_processing/deciders/unsupervised/__init__.py              0      0   100%
lcc/stars_processing/deciders/unsupervised/k_means_decider.py       8      8     0%
lcc/stars_processing/descriptors/__init__.py                       12      0   100%
lcc/stars_processing/descriptors/abbe_value_descr.py               11      0   100%
lcc/stars_processing/descriptors/color_index_descr.py              26     20    23%
lcc/stars_processing/descriptors/curve_density_descr.py             9      3    67%
lcc/stars_processing/descriptors/curve_descr.py                    60     49    18%
lcc/stars_processing/descriptors/curves_shape_descr.py             49      0   100%
lcc/stars_processing/descriptors/hist_shape_descr.py               13      0   100%
lcc/stars_processing/descriptors/kurtosis_desc.py                  19     10    47%
lcc/stars_processing/descriptors/position_descriptor.py             8      3    62%
lcc/stars_processing/descriptors/property_desc.py                  19     13    32%
lcc/stars_processing/descriptors/skewness_desc.py                  19      2    89%
lcc/stars_processing/descriptors/variogram_shape_descr.py          13      0   100%
lcc/stars_processing/descriptors/variogram_slope_descr.py          14      7    50%
lcc/stars_processing/stars_filter.py                              126     38    70%
lcc/stars_processing/systematic_search/__init__.py                  0      0   100%
lcc/stars_processing/systematic_search/stars_searcher.py          168     48    71%
lcc/stars_processing/systematic_search/worker.py                   18      2    89%
lcc/stars_processing/tools/__init__.py                              0      0   100%
lcc/stars_processing/tools/params_estim.py                        117     37    68%
lcc/stars_processing/tools/stats_manager.py                        38     28    26%
lcc/stars_processing/tools/visualization.py                       232    158    32%
lcc/stars_processing/utilities/__init__.py                          0      0   100%
lcc/stars_processing/utilities/base_decider.py                     44     31    30%
lcc/stars_processing/utilities/base_descriptor.py                  28      8    71%
lcc/stars_processing/utilities/compare.py                          37     15    59%
lcc/stars_processing/utilities/sax.py                              79     21    73%
lcc/stars_processing/utilities/superv_base_decider.py              29      4    86%
lcc/stars_processing/utilities/symbolic_representation.py          48      3    94%
lcc/stars_processing/utilities/unsupervised_base.py                16     16     0%
lcc/utils/__init__.py                                               0      0   100%
lcc/utils/commons.py                                              118    100    15%
lcc/utils/data_analysis.py                                        181     19    90%
lcc/utils/helpers.py                                              129     87    33%
lcc/utils/output_process_modules.py                                25     10    60%
lcc/utils/stars.py                                                 79     59    25%
-----------------------------------------------------------------------------------
TOTAL                                                            3945   1365    65%
