#starid;target;field
1;lmc;1
1;lmc;2
1;lmc;3
1;lmc;4
1;lmc;5
1;lmc;6
1;lmc;7
1;lmc;8
1;lmc;9
1;lmc;10
1;lmc;11
1;lmc;12
1;lmc;13
2;lmc;1
2;lmc;2
2;lmc;3
2;lmc;4
2;lmc;5
2;lmc;6
2;lmc;7
2;lmc;8
2;lmc;9
2;lmc;10
2;lmc;11
2;lmc;12
2;lmc;13
3;lmc;1
3;lmc;2
3;lmc;3
3;lmc;4
3;lmc;5
3;lmc;6
3;lmc;7
3;lmc;8
3;lmc;9
3;lmc;10
3;lmc;11
3;lmc;12
3;lmc;13
4;lmc;1
4;lmc;2
4;lmc;3
4;lmc;4
4;lmc;5
4;lmc;6
4;lmc;7
4;lmc;8
4;lmc;9
4;lmc;10
4;lmc;11
4;lmc;12
4;lmc;13
5;lmc;1
5;lmc;2
5;lmc;3
5;lmc;4
5;lmc;5
5;lmc;6
5;lmc;7
5;lmc;8
5;lmc;9
5;lmc;10
5;lmc;11
5;lmc;12
5;lmc;13
6;lmc;1
6;lmc;2
6;lmc;3
6;lmc;4
6;lmc;5
6;lmc;6
6;lmc;7
6;lmc;8
6;lmc;9
6;lmc;10
6;lmc;11
6;lmc;12
6;lmc;13
7;lmc;1
7;lmc;2
7;lmc;3
7;lmc;4
7;lmc;5
7;lmc;6
7;lmc;7
7;lmc;8
7;lmc;9
7;lmc;10
7;lmc;11
7;lmc;12
7;lmc;13
8;lmc;1
8;lmc;2
8;lmc;3
8;lmc;4
8;lmc;5
8;lmc;6
8;lmc;7
8;lmc;8
8;lmc;9
8;lmc;10
8;lmc;11
8;lmc;12
8;lmc;13
9;lmc;1
9;lmc;2
9;lmc;3
9;lmc;4
9;lmc;5
9;lmc;6
9;lmc;7
9;lmc;8
9;lmc;9
9;lmc;10
9;lmc;11
9;lmc;12
9;lmc;13
10;lmc;1
10;lmc;2
10;lmc;3
10;lmc;4
10;lmc;5
10;lmc;6
10;lmc;7
10;lmc;8
10;lmc;9
10;lmc;10
10;lmc;11
10;lmc;12
10;lmc;13
11;lmc;1
11;lmc;2
11;lmc;3
11;lmc;4
11;lmc;5
11;lmc;6
11;lmc;7
11;lmc;8
11;lmc;9
11;lmc;10
11;lmc;11
11;lmc;12
11;lmc;13
12;lmc;1
12;lmc;2
12;lmc;3
12;lmc;4
12;lmc;5
12;lmc;6
12;lmc;7
12;lmc;8
12;lmc;9
12;lmc;10
12;lmc;11
12;lmc;12
12;lmc;13
13;lmc;1
13;lmc;2
13;lmc;3
13;lmc;4
13;lmc;5
13;lmc;6
13;lmc;7
13;lmc;8
13;lmc;9
13;lmc;10
13;lmc;11
13;lmc;12
13;lmc;13
14;lmc;1
14;lmc;2
14;lmc;3
14;lmc;4
14;lmc;5
14;lmc;6
14;lmc;7
14;lmc;8
14;lmc;9
14;lmc;10
14;lmc;11
14;lmc;12
14;lmc;13
15;lmc;1
15;lmc;2
15;lmc;3
15;lmc;4
15;lmc;5
15;lmc;6
15;lmc;7
15;lmc;8
15;lmc;9
15;lmc;10
15;lmc;11
15;lmc;12
15;lmc;13
16;lmc;1
16;lmc;2
16;lmc;3
16;lmc;4
16;lmc;5
16;lmc;6
16;lmc;7
16;lmc;8
16;lmc;9
16;lmc;10
16;lmc;11
16;lmc;12
16;lmc;13
17;lmc;1
17;lmc;2
17;lmc;3
17;lmc;4
17;lmc;5
17;lmc;6
17;lmc;7
17;lmc;8
17;lmc;9
17;lmc;10
17;lmc;11
17;lmc;12
17;lmc;13
18;lmc;1
18;lmc;2
18;lmc;3
18;lmc;4
18;lmc;5
18;lmc;6
18;lmc;7
18;lmc;8
18;lmc;9
18;lmc;10
18;lmc;11
18;lmc;12
18;lmc;13
19;lmc;1
19;lmc;2
19;lmc;3
19;lmc;4
19;lmc;5
19;lmc;6
19;lmc;7
19;lmc;8
19;lmc;9
19;lmc;10
19;lmc;11
19;lmc;12
19;lmc;13
20;lmc;1
20;lmc;2
20;lmc;3
20;lmc;4
20;lmc;5
20;lmc;6
20;lmc;7
20;lmc;8
20;lmc;9
20;lmc;10
20;lmc;11
20;lmc;12
20;lmc;13
21;lmc;1
21;lmc;2
21;lmc;3
21;lmc;4
21;lmc;5
21;lmc;6
21;lmc;7
21;lmc;8
21;lmc;9
21;lmc;10
21;lmc;11
21;lmc;12
21;lmc;13
22;lmc;1
22;lmc;2
22;lmc;3
22;lmc;4
22;lmc;5
22;lmc;6
22;lmc;7
22;lmc;8
22;lmc;9
22;lmc;10
22;lmc;11
22;lmc;12
22;lmc;13
23;lmc;1
23;lmc;2
23;lmc;3
23;lmc;4
23;lmc;5
23;lmc;6
23;lmc;7
23;lmc;8
23;lmc;9
23;lmc;10
23;lmc;11
23;lmc;12
23;lmc;13
24;lmc;1
24;lmc;2
24;lmc;3
24;lmc;4
24;lmc;5
24;lmc;6
24;lmc;7
24;lmc;8
